query_id,query,embedding_latency_ms,retrieval_latency_ms,reranking_latency_ms,generation_latency_ms,grounding_latency_ms,total_rag_latency_ms,total_latency_ms,success,refused
q6_5,What is the national animal of India?,18.076181411743164,0.2429485321044922,59.721946716308594,0.010967254638671875,0.04100799560546875,78.09615135192871,78.09615135192871,True,True
q7_6,What are the official languages of India?,17.103910446166992,0.240325927734375,47.38473892211914,0.010967254638671875,0.04124641418457031,64.78309631347656,64.78309631347656,True,True
q8_7,What is the climate of India?,15.192747116088867,0.27370452880859375,51.92136764526367,0.010967254638671875,0.0400543212890625,67.44194030761719,67.44194030761719,True,True
q9_8,What is the geography of India?,15.691995620727539,0.2608299255371094,32.209157943725586,0.010013580322265625,0.04076957702636719,48.21586608886719,48.21586608886719,True,True
q10_9,What is the history of India?,15.150785446166992,0.2422332763671875,46.47111892700195,0.010013580322265625,0.03886222839355469,61.91587448120117,61.91587448120117,True,True
q11_10,What is the economy of India?,14.566183090209961,0.24771690368652344,31.333208084106445,0.010967254638671875,0.036716461181640625,46.19789123535156,46.19789123535156,True,True
q12_11,What is the culture of India?,14.686107635498047,0.2410411834716797,43.73979568481445,0.010967254638671875,0.03981590270996094,58.72011184692383,58.72011184692383,True,True
q13_12,What are the major cities in India?,16.093969345092773,0.2510547637939453,56.977033615112305,0.031948089599609375,0.08487701416015625,73.43888282775879,73.43888282775879,True,False
q14_13,What is the education system in India?,14.91403579711914,0.24819374084472656,27.718782424926758,0.009775161743164062,0.0400543212890625,42.932987213134766,42.932987213134766,True,True
q15_14,What is the healthcare system in India?,14.496088027954102,0.2460479736328125,28.16176414489746,0.009059906005859375,0.03814697265625,42.9539680480957,42.9539680480957,True,True
q1_15,What is the capital of India?,14.50800895690918,0.26297569274902344,32.57584571838379,0.026226043701171875,0.08082389831542969,47.454833984375,47.454833984375,True,False
q2_16,Who is the prime minister of India?,14.525890350341797,0.24700164794921875,30.31611442565918,0.010013580322265625,0.03886222839355469,45.13978958129883,45.13978958129883,True,True
q3_17,What is the population of India?,15.048027038574219,0.2257823944091797,28.208017349243164,0.009775161743164062,0.03790855407714844,43.53189468383789,43.53189468383789,True,True
q4_18,What are the major religions in India?,15.490055084228516,0.22792816162109375,29.2360782623291,0.010013580322265625,0.03790855407714844,45.00603675842285,45.00603675842285,True,True
